FARM_NO,FARM_PIG_NO,BUNMAN_SANCHA,GYOBAE_DT,BUNMAN_DT,CHONGSAN,SILSAN,EUDUSU,EUKG,CHOGYOBAE,JAE
1387,9530,1,20100727,20101113,6,3,7,33.6,,
1387,9530,2,20110128,20110522,14,14,9,88.2,,43
1387,9530,3,20110628,20111021,15,15,10,55,,5
1387,9530,4,20120102,20120424,17,15,10,75,,
1387,9530,5,20120529,20120921,13,13,9,63,,5
1387,1755,1,20091228,20100422,13,10,11,79.2,,
1387,1755,2,20100726,20101118,17,16,6,42,,
1387,4793,1,20091209,20100403,5,5,8,64,,
1387,4793,2,20100503,20100826,14,13,7,49,,4
1387,4793,3,20100928,20110120,13,10,11,77,,5
1387,4793,4,20110221,20110616,18,15,12,72,,4
1387,4793,5,20110719,20111111,15,13,10,100,,5
1387,4793,6,20111212,20120405,16,12,10,80,,4
1387,4793,7,20120508,20120831,13,12,9,45,,5
1387,4793,8,20121002,20130125,12,10,9,49.5,,5
1387,4793,9,20130225,20130620,11,7,8,48,,4
1387,4793,10,20130812,20131206,15,10,10,70,,
1387,4793,11,20140107,20140503,9,4,8,40,,5
1387,1799,1,20091117,20100313,1,1,5,60,249,
1387,1799,2,20100502,20100826,14,12,12,70.8,,
1387,1799,3,20101130,20110325,9,8,10,0,,
1387,1799,4,20110426,20110821,17,15,11,55,,5
1387,1799,5,20110920,20120115,12,12,9,63,,5
1387,1799,6,20120214,20120610,17,17,12,78,,5
1387,1799,7,20120710,20121104,10,10,8,40,,5
1387,1799,8,20121204,20130330,13,0,0,0,,5
1387,9532,1,20100323,20100718,13,11,10,58,,
1387,9532,2,20101019,20110213,17,16,12,84,,
1387,1831,1,20091229,20100424,13,13,12,0,,
1387,1831,2,20100525,20100918,14,13,11,96.8,,5
1387,1831,3,20101019,20110213,17,14,13,0,,5
1387,1831,4,20110314,20110709,14,13,11,66,,4
1387,1831,5,20110808,20111129,15,13,3,15,,4
1387,2029,1,20100323,20100716,8,8,9,70.2,,
1387,1940,1,20091209,20100405,5,5,7,66.5,,
1387,1940,2,20100503,20100828,11,11,9,70.2,,4
1387,1940,3,20100928,20110122,18,15,9,90,,5
1387,1940,4,20110221,20110618,15,14,12,60,,4
1387,1940,5,20110719,20111112,15,14,10,60,,5
1387,1940,6,20111213,20120406,16,14,8,48,,5
1387,1940,7,20120507,20120901,15,11,10,60,,4
1387,1940,8,20121003,20130128,11,9,7,28,,15
1387,1940,9,20130225,20130620,7,6,7,42,,4
1387,1940,10,20130819,20131212,12,11,8,48,,
1387,1940,11,20140106,20140501,11,10,7,31.5,,4
1387,2042,1,20100302,20100627,10,9,9,70.2,,
1387,2042,2,20101201,20110328,12,9,9,63,,
1387,2042,3,20110425,20110819,12,11,11,60.5,,4
1387,2042,4,20110920,20120115,15,14,7,35,,5
1387,2121,1,20100119,20100514,13,12,10,90,,
1387,2121,2,20100928,20110122,16,14,7,42,,
1387,2121,3,20110221,20110616,15,14,11,55,,4
1387,2121,4,20110719,20111110,15,13,10,75,,5
1387,2121,5,20111212,20120404,12,12,11,99,,4
1387,2121,6,20120508,20120828,16,11,9,72,,5
1387,2121,7,20121002,20130125,7,6,6,36,,5
1387,2121,8,20130225,20130620,12,12,0,0,,4
1387,2094,1,20091208,20100403,12,11,10,82,262,
1387,2094,2,20100503,20100827,14,13,8,56,,4
1387,2094,3,20100928,20110120,14,14,9,90,,5
1387,2094,4,20110222,20110617,12,12,10,65,,5
1387,2094,5,20110719,20111110,13,12,8,80,,5
1387,2094,6,20120214,20120607,13,13,7,56,,
1387,2094,7,20120709,20121102,9,9,7,35,,4
1387,2148,1,20091209,20100401,9,9,9,72,,
1387,2148,2,20100705,20101030,10,9,10,80,,
1387,2148,3,20101130,20110325,16,16,10,60,,5
1387,2148,4,20110425,20110818,11,11,10,80,,4
1387,2148,5,20110919,20120113,13,12,9,54,,4
1387,2148,6,20120214,20120607,15,13,10,80,,5
1387,2158,1,20091207,20100403,12,12,10,95,256,
1387,2158,2,20100816,20101212,6,6,0,0,,
1387,9830,1,20091208,20100403,12,12,10,55,257,
1387,9830,2,20100503,20100826,16,15,10,55,,4
1387,4910Z,1,20100302,20100625,10,10,9,72,,
1387,4910Z,2,20100928,20110123,5,5,8,72,,
1387,4910Z,3,20110221,20110618,13,13,13,0,,4
1387,4910Z,4,20110920,20120114,14,14,11,82.5,,
1387,2224,1,20091208,20100403,10,10,10,0,256,
1387,2224,2,20100503,20100828,11,11,10,90,,4
1387,2224,3,20101018,20110212,13,13,13,93.6,,4
1387,2224,4,20110404,20110730,14,13,12,90,,4
1387,2224,5,20110829,20111225,13,13,12,84,,4
1387,2224,6,20120123,20120518,13,13,11,71.5,,4
1387,2224,7,20120618,20121012,17,17,10,90,,4
1387,2272,1,20091208,20100404,4,4,7,66.5,256,
1387,2272,2,20100503,20100828,14,13,6,19.2,,4
1387,2341,1,20091208,20100403,15,14,8,62.4,255,
1387,2341,2,20100503,20100828,11,10,11,81.4,,4
1387,2341,3,20100928,20110122,14,13,11,77,,5
1387,2341,4,20110222,20110618,13,13,11,58.3,,5
1387,2341,5,20110719,20111114,13,13,9,63,,5
1387,2341,6,20111213,20120407,12,12,8,56,,5
1387,2341,7,20120508,20120901,15,13,9,54,,5
1387,2341,8,20121002,20130127,16,13,8,48,,5
1387,1600,1,20100506,20100829,8,8,10,74,,
1387,2336,1,20100118,20100514,13,12,0,0,,
1387,2336,2,20101223,20110418,10,8,10,71,,
1387,2336,3,20110517,20110910,13,9,7,35,,5
1387,2336,4,20111011,20120205,9,9,10,75,,5
1387,2336,5,20120306,20120702,14,8,10,62,,5
1387,2336,6,20120731,20121125,13,12,9,49.5,,5
1387,2336,7,20121225,20130419,16,14,6,36,,5
1387,4637,1,20100414,20100807,11,10,12,88.8,,
1387,2020,1,20091117,20100313,14,13,6,48.6,242,
1387,2128,1,20100323,20100717,4,4,9,52.2,,
1387,2128,2,20110130,20110524,8,6,7,49,,
1387,2128,3,20110628,20111021,16,16,12,84,,5
1387,2128,4,20111214,20120407,15,13,9,54,,
1387,2128,5,20120530,20120923,13,10,9,58.5,,
1387,2128,6,20130116,20130511,8,8,9,54,,
1387,7923,1,20091229,20100424,13,10,11,66,242,
1387,7923,2,20110522,20110913,15,14,6,39,,
1387,5893,1,20100414,20100807,14,13,11,71.5,,
1387,5893,2,20101109,20110305,14,14,13,0,,
1387,5893,3,20110405,20110731,17,17,10,70,,5
1387,5893,4,20110830,20111225,6,6,11,66,,5
1387,5893,5,20120124,20120519,14,14,10,70,,5
1387,5893,6,20120619,20121014,12,7,11,77,,5
1387,5893,7,20121112,20130308,13,12,8,48,,5
1387,5893,8,20130407,20130802,14,6,9,63,,4
1387,5893,9,20130903,20131229,15,4,5,20,,5
1387,5893,10,20140128,20140524,13,13,8,48,,5
1387,5893,11,20140623,20141018,12,2,9,45,,4
1387,5689,1,20100119,20100513,18,16,12,86.4,274,
1387,5689,2,20101019,20110212,15,13,11,0,,
1387,5689,3,20110314,20110708,12,11,11,88,,4
1387,5689,4,20111101,20120223,8,6,10,70,,
1387,0771,1,20100302,20100626,10,9,8,56,,
1387,0771,2,20100727,20101118,15,15,8,48,,5
1387,0771,3,20110130,20110523,12,10,8,65.6,,45
1387,0771,4,20110627,20111021,15,11,6,66,,4
1387,0771,5,20111121,20120313,9,6,9,63,,4
1387,0771,6,20120417,20120809,13,12,9,27,,5
1387,0686,1,20100119,20100513,17,10,6,31.2,271,
1387,0686,2,20100614,20101008,18,18,9,61.2,,4
1387,0686,3,20110130,20110524,11,11,5,35,,
1387,0686,4,20110627,20111020,16,15,9,67.5,,4
1387,0686,5,20111121,20120314,15,15,8,64,,4
1387,0686,6,20120417,20120807,11,11,10,70,,5
1387,0686,7,20120911,20130104,16,12,8,48,,5
1387,0686,8,20130204,20130529,16,15,8,56,,4
1387,0686,9,20130702,20131023,14,11,0,0,,5
1387,0785,1,20100209,20100605,10,8,9,63,,
1387,0785,2,20100705,20101029,11,8,8,49.6,,4
1387,0785,3,20101130,20110325,10,8,12,0,,5
1387,0785,4,20110426,20110820,14,12,12,96,,5
1387,0785,5,20110920,20120114,9,7,10,75,,5
1387,0785,6,20120213,20120608,11,8,9,63,,4
1387,0785,7,20121206,20130331,11,10,8,48,,
1387,0785,8,20130430,20130822,13,13,8,64,,5
1387,0785,9,20130924,20140116,14,11,10,60,,5
