FARM_NO,,FARM_PIG_NO,,BUNMAN_SANCHA,,GYOBAE_DT,,BUNMAN_DT,,CHONGSAN,,SILSAN,,EUDUSU,,EUKG,,CHOGYOBAE,,JAE
624,,36-86,,2,,20100521,,20100913,,13,,13,,11,,0,,,,
624,,36-86,,3,,20101009,,20110202,,18,,18,,10,,80,,,,5
624,,36-86,,4,,20110309,,20110703,,13,,13,,11,,88,,,,9
624,,36-86,,5,,20110801,,20111125,,13,,10,,10,,70,,,,4
624,,36-86,,6,,20111227,,20120421,,17,,16,,11,,88,,,,5
624,,36-86,,7,,20120522,,20120914,,18,,17,,11,,77,,,,5
624,,36-86,,8,,20121016,,20130207,,13,,11,,10,,70,,,,5
624,,36-86,,9,,20130312,,20130707,,12,,10,,9,,72,,,,5
624,,36-86,,10,,20130806,,20131201,,10,,7,,9,,81,,,,5
624,,36-86,,11,,20140507,,20140829,,5,,3,,3,,24,,,,
624,,37-58,,2,,20100521,,20100912,,14,,14,,9,,0,,,,
624,,37-58,,3,,20101009,,20110131,,15,,14,,9,,54,,,,5
624,,37-58,,4,,20110321,,20110712,,15,,14,,10,,70,,,,26
624,,37-58,,5,,20110915,,20120108,,8,,8,,8,,56,,,,38
624,,37-58,,6,,20120208,,20120531,,17,,13,,9,,67.5,,,,6
624,,37-58,,7,,20120704,,20121027,,12,,12,,10,,70,,,,6
624,,37-58,,8,,20121127,,20130321,,12,,8,,9,,67.5,,,,5
624,,37-58,,9,,20130423,,20130815,,16,,13,,6,,42,,,,5
624,,37-58,,10,,20130917,,20140110,,12,,11,,7,,52.5,,,,5
624,,37-58,,11,,20140211,,20140606,,13,,9,,9,,63,,,,5
624,,37-58,,12,,20140708,,20141031,,12,,6,,5,,37.5,,,,5
624,,37-58,,13,,20141201,,20150327,,5,,5,,5,,37.5,,,,4
624,,37-58,,14,,20150427,,20150821,,7,,5,,7,,45.5,,,,4
624,,36-96,,3,,20100521,,20100912,,13,,13,,12,,0,,,,
624,,36-96,,4,,20101123,,20110317,,19,,19,,12,,84,,,,
624,,36-96,,5,,20110425,,20110818,,15,,14,,9,,63,,,,11
624,,36-96,,6,,20111004,,20120127,,7,,6,,10,,70,,,,16
624,,36-96,,7,,20120228,,20120621,,14,,14,,9,,72,,,,5
624,,36-96,,8,,20120922,,20130114,,10,,10,,10,,80,,,,
624,,36-96,,9,,20130220,,20130615,,11,,9,,9,,67.5,,,,6
624,,36-96,,10,,20130918,,20140111,,12,,7,,7,,56,,,,
624,,37-22,,3,,20100521,,20100916,,9,,9,,9,,0,,,,
624,,37-22,,4,,20101011,,20110202,,11,,11,,4,,36,,,,7
624,,37-22,,5,,20110320,,20110712,,13,,13,,11,,77,,,,20
624,,37-22,,6,,20111011,,20120205,,11,,10,,10,,70,,,,64
624,,37-22,,7,,20120314,,20120707,,9,,9,,11,,0,,,,4
624,,37-22,,8,,20120814,,20121209,,10,,10,,9,,72,,,,5
624,,37-22,,9,,20130109,,20130503,,12,,10,,11,,77,,,,6
624,,37-22,,10,,20130604,,20130927,,11,,6,,6,,45,,,,5
624,,37-22,,11,,20131029,,20140221,,12,,8,,10,,75,,,,5
624,,37-22,,12,,20140325,,20140718,,10,,9,,10,,70,,,,5
624,,37-22,,13,,20140819,,20141213,,14,,8,,7,,42,,,,5
624,,37-22,,14,,20150113,,20150508,,9,,9,,10,,70,,,,5
624,,37-22,,15,,20150611,,20151005,,6,,4,,4,,32,,,,7
624,,37-84,,3,,20100521,,20100913,,14,,14,,9,,0,,,,
624,,37-84,,4,,20101009,,20110131,,15,,15,,2,,12,,,,5
624,,100-100,,4,,20100521,,20100915,,12,,10,,9,,0,,,,
624,,100-100,,5,,20101102,,20110226,,11,,11,,7,,42,,,,12
624,,100-100,,6,,20110329,,20110722,,13,,12,,9,,72,,,,5
624,,100-100,,7,,20110824,,20111218,,13,,13,,8,,60,,,,6
624,,100-100,,8,,20120117,,20120511,,15,,15,,9,,63,,,,5
624,,100-100,,9,,20120612,,20121005,,14,,13,,9,,72,,,,5
624,,35-91,,2,,20100521,,20100911,,13,,12,,7,,0,,,,
624,,35-91,,3,,20101123,,20110317,,12,,12,,9,,90,,,,
624,,35-91,,4,,20110418,,20110811,,11,,11,,9,,72,,,,4
624,,35-91,,5,,20110914,,20120107,,7,,7,,7,,56,,,,5
624,,35-91,,6,,20120206,,20120531,,12,,12,,8,,64,,,,4
624,,35-91,,7,,20120702,,20121026,,12,,11,,8,,56,,,,4
624,,35-91,,8,,20121126,,20130321,,12,,10,,9,,72,,,,4
624,,35-91,,9,,20130422,,20130816,,9,,7,,7,,56,,,,4
624,,35-91,,10,,20130917,,20140110,,11,,8,,7,,56,,,,5
624,,35-91,,11,,20140210,,20140606,,10,,10,,10,,70,,,,4
624,,35-91,,12,,20140708,,20141031,,11,,8,,7,,49,,,,5
624,,35-91,,13,,20141127,,20150327,,5,,4,,8,,60,,,,0
624,,35-91,,14,,20150428,,20150821,,10,,9,,8,,60,,,,5
624,,35-91,,15,,20150922,,20160116,,5,,5,,8,,64,,,,5
624,,8-44,,2,,20100525,,20100916,,8,,8,,6,,0,,,,
624,,8-44,,3,,20101125,,20110322,,13,,13,,9,,72,,,,35
624,,8-44,,4,,20110421,,20110816,,5,,5,,0,,0,,,,7
624,,8-44,,5,,20120127,,20120520,,13,,12,,10,,100,,,,140
624,,16-03,,2,,20100527,,20100923,,11,,11,,10,,0,,,,
624,,16-03,,3,,20101102,,20110225,,16,,16,,10,,70,,,,12
624,,16-03,,4,,20110329,,20110722,,16,,16,,12,,84,,,,5
624,,16-03,,5,,20110823,,20111219,,14,,14,,11,,77,,,,5
624,,16-03,,6,,20120117,,20120513,,13,,12,,11,,77,,,,5
624,,16-03,,7,,20120612,,20121005,,16,,9,,9,,63,,,,5
624,,16-03,,8,,20121107,,20130302,,14,,14,,11,,77,,,,5
624,,16-03,,9,,20130402,,20130727,,13,,12,,12,,84,,,,5
624,,16-03,,10,,20140505,,20140829,,12,,5,,0,,0,,,,
624,,16-03,,11,,20140930,,20150124,,3,,3,,6,,42,,,,5
624,,16-03,,12,,20150222,,20150620,,9,,8,,8,,60,,,,4
624,,15-18,,2,,20100527,,20100920,,15,,15,,11,,0,,,,
624,,15-18,,3,,20101103,,20110227,,12,,12,,6,,36,,,,13
624,,0-4,,1,,20100529,,20100922,,10,,10,,12,,0,,238,,
624,,0-4,,2,,20101102,,20110226,,5,,5,,10,,80,,,,12
624,,0-4,,3,,20110329,,20110722,,15,,15,,13,,0,,,,5
624,,0-4,,4,,20110823,,20111218,,5,,5,,5,,50,,,,5
624,,0-4,,5,,20120719,,20121113,,2,,2,,2,,14,,,,
624,,0-90,,1,,20100529,,20100920,,14,,14,,7,,0,,237,,
624,,0-90,,2,,20101102,,20110227,,11,,11,,8,,56,,,,5
624,,0-90,,3,,20110329,,20110724,,14,,14,,10,,70,,,,5
624,,36-91,,3,,20100531,,20100923,,17,,16,,12,,0,,,,
624,,36-91,,4,,20101102,,20110226,,19,,19,,11,,77,,,,12
624,,36-91,,5,,20110329,,20110722,,15,,12,,10,,70,,,,5
624,,36-91,,6,,20110823,,20111216,,10,,10,,9,,72,,,,10
624,,36-91,,7,,20120117,,20120512,,14,,14,,9,,67.5,,,,5
624,,36-91,,8,,20120612,,20121006,,13,,13,,10,,70,,,,5
624,,36-91,,9,,20121107,,20130301,,17,,14,,12,,0,,,,5
624,,36-91,,10,,20130402,,20130727,,13,,9,,9,,63,,,,5
624,,36-91,,11,,20130827,,20131220,,13,,8,,10,,70,,,,5
624,,36-91,,12,,20140121,,20140516,,16,,13,,10,,75,,,,5
624,,36-91,,13,,20140617,,20141011,,12,,7,,10,,75,,,,5
624,,36-91,,14,,20141111,,20150307,,11,,5,,7,,52.5,,,,5
624,,36-91,,15,,20150407,,20150802,,13,,9,,8,,56,,,,5
624,,36-91,,16,,20150901,,20151227,,5,,0,,7,,52.5,,,,5
624,,37-34,,3,,20100531,,20100920,,16,,16,,9,,0,,,,
624,,37-34,,4,,20101102,,20110224,,18,,18,,8,,56,,,,12
624,,37-34,,5,,20110329,,20110719,,15,,14,,11,,77,,,,5
624,,37-34,,6,,20110823,,20111216,,10,,10,,8,,64,,,,10
624,,37-34,,7,,20120117,,20120510,,15,,15,,10,,80,,,,5
624,,37-34,,8,,20120612,,20121004,,15,,12,,8,,64,,,,5
624,,37-34,,9,,20121107,,20130301,,16,,14,,11,,77,,,,5
624,,37-34,,10,,20130402,,20130726,,16,,11,,7,,49,,,,5
624,,37-34,,11,,20130827,,20131219,,13,,11,,8,,56,,,,5
624,,37-34,,12,,20140121,,20140516,,10,,9,,9,,67.5,,,,5
624,,37-34,,13,,20140712,,20141030,,11,,8,,0,,0,,,,
624,,37-34,,14,,20141127,,20150320,,11,,9,,5,,40,,,,0
624,,37-34,,15,,20150427,,20150821,,5,,3,,4,,32,,,,4
624,,37-34,,16,,20150923,,20160115,,3,,3,,0,,0,,,,6
624,,12-31,,2,,20100531,,20100923,,12,,12,,9,,0,,,,
624,,12-31,,3,,20101103,,20110225,,11,,11,,6,,60,,,,13
624,,12-31,,4,,20110420,,20110812,,12,,12,,10,,70,,,,27
624,,12-31,,5,,20110915,,20120108,,14,,14,,9,,72,,,,6
624,,12-31,,6,,20120207,,20120601,,16,,15,,11,,88,,,,5
624,,12-31,,7,,20120704,,20121028,,13,,12,,9,,63,,,,6
624,,12-31,,8,,20121127,,20130323,,13,,13,,12,,84,,,,5
624,,12-31,,9,,20130423,,20130816,,13,,12,,10,,75,,,,5
624,,12-31,,10,,20130917,,20140111,,14,,9,,8,,56,,,,5
624,,11-53,,2,,20100531,,20100927,,11,,11,,11,,0,,,,
624,,11-53,,3,,20101102,,20110227,,11,,11,,10,,70,,,,12
624,,11-53,,4,,20110419,,20110813,,14,,14,,11,,77,,,,26
624,,11-53,,5,,20110914,,20120108,,10,,10,,10,,80,,,,5
624,,11-53,,6,,20120207,,20120601,,10,,10,,10,,80,,,,5
624,,11-53,,7,,20120704,,20121027,,15,,11,,11,,77,,,,6
624,,11-53,,8,,20121127,,20130323,,12,,12,,12,,84,,,,5
624,,11-53,,9,,20130423,,20130817,,12,,12,,10,,70,,,,5
624,,11-53,,10,,20130917,,20140111,,14,,14,,11,,77,,,,5
624,,11-53,,11,,20140211,,20140610,,15,,15,,10,,70,,,,5
624,,11-53,,12,,20140708,,20141101,,14,,14,,10,,70,,,,5
624,,11-53,,13,,20141202,,20150327,,11,,11,,11,,82.5,,,,5
624,,11-53,,14,,20150428,,20150823,,15,,11,,9,,72,,,,5
624,,11-53,,15,,20150922,,20160117,,11,,10,,10,,70,,,,5
624,,36-64,,2,,20100531,,20100927,,11,,11,,10,,0,,,,
624,,36-64,,3,,20101102,,20110228,,16,,16,,12,,96,,,,12
624,,36-64,,4,,20110421,,20110814,,10,,10,,10,,70,,,,28
624,,36-64,,5,,20110914,,20120109,,9,,9,,6,,42,,,,5
624,,36-64,,6,,20120207,,20120604,,14,,11,,8,,56,,,,5
624,,12-13,,2,,20100531,,20100923,,10,,10,,10,,0,,,,
624,,12-13,,3,,20101102,,20110225,,12,,12,,9,,81,,,,12
624,,12-13,,4,,20110329,,20110721,,11,,11,,10,,70,,,,5
624,,12-13,,5,,20110823,,20111216,,10,,10,,8,,72,,,,10
624,,12-13,,6,,20120116,,20120511,,11,,9,,8,,64,,,,4
624,,12-13,,7,,20120612,,20121005,,11,,10,,10,,80,,,,5
624,,12-13,,8,,20121107,,20130302,,10,,8,,11,,77,,,,5
624,,12-13,,9,,20130402,,20130727,,15,,10,,10,,60,,,,5
624,,12-13,,10,,20130827,,20131221,,11,,10,,10,,70,,,,5
624,,12-13,,11,,20140121,,20140516,,12,,11,,10,,80,,,,5
624,,11-56,,2,,20100531,,20100923,,10,,10,,9,,0,,,,
624,,11-56,,3,,20101102,,20110224,,15,,14,,10,,80,,,,12
