input_dt,donsa_cd,group_id,eq_id,feed_plan_cd,ilcha,feed_plan_nm,in_dt,farm_no,pig_no,farm_pig_no,feed_plan_pct,feed_plan_pct_1,feed_plan_pct_2,feed_plan_pct_3,feed_plan_pct_4,feed_plan_pct_5,pig_status,sancha,jadon_dusu,bcs,gyobae_dt,bunman_dt,out_dt,wk_gubun,wk_dt,set_time,set_minute,one_intake_kg,feed_tm,water_in_sec,gap_kg,gap_day,pre_day_kg,one_tm,one_kg,one_now_kg,two_tm,two_kg,two_now_kg,three_tm,three_kg,three_now_kg,four_tm,four_kg,four_now_kg,five_tm,five_kg,five_now_kg,warn_kg,min_kg,log_dt,control_mod_yn,trans_yn
2018-06-20,B,a,1,B2,6,2산,2018-06-09,624,301,030-021,1,1,1,1,1,1,B,0,10,3,2018-02-19,2018-06-14,9999-12-31,B,2018-06-14,18,0,2,90,0,0,0,38,5,17,17,10,17,12,15,17,17,0,0,0,0,0,0,13,26,2018-06-20 15:42:26,N,Y
2018-06-20,B,a,2,B2,4,2산,2018-06-09,624,323,026-043,1,1,1,1,1,1,B,0,10,3,2018-02-20,2018-06-16,9999-12-31,B,2018-06-16,18,0,2,90,0,0,0,21,5,10,10,10,10,10,15,10,10,0,0,0,0,0,0,8,15,2018-06-20 15:42:27,N,Y
2018-06-20,B,a,6,B2,6,2산,2018-06-09,624,310,025-070,1,1,1,1,1,1,B,0,10,3,2018-02-21,2018-06-14,9999-12-31,B,2018-06-14,11,0,2,90,0,0,0,39,5,17,17,10,17,17,15,17,17,0,0,0,0,0,0,13,26,2018-06-20 16:42:35,N,Y
2018-06-20,B,a,7,B3,6,3산+,2018-06-09,624,178,38-4,1,1,1,1,1,1,B,0,10,3,2018-02-19,2018-06-14,9999-12-31,B,2018-06-14,18,0,2,90,0,0,0,39,5,17,17,10,17,17,15,17,17,0,0,0,0,0,0,13,26,2018-06-20 15:42:37,N,Y
2018-06-20,B,a,8,B3,6,3산+,2018-06-09,624,271,170-051,1,1,1,1,1,1,B,0,10,3,2018-02-19,2018-06-14,9999-12-31,B,2018-06-14,18,0,2,90,0,0,0,39,5,17,17,10,17,17,15,17,12,0,0,0,0,0,0,13,26,2018-06-20 16:42:39,N,Y
2018-06-20,B,a,9,B3,4,3산+,2018-06-09,624,182,37-76,1,1,1,1,1,1,B,0,10,3,2018-02-20,2018-06-16,9999-12-31,B,2018-06-16,18,0,2,90,0,0,0,21,5,10,10,10,10,10,15,10,10,0,0,0,0,0,0,8,15,2018-06-20 16:42:40,N,Y
2018-06-20,B,a,10,B3,6,3산+,2018-06-09,624,202,13-03,1,1,1,1,1,1,B,0,10,3,2018-02-19,2018-06-14,9999-12-31,B,2018-06-14,18,0,2,90,0,0,0,39,5,17,17,10,17,17,15,17,16,0,0,0,0,0,0,13,26,2018-06-20 16:42:42,N,Y
2018-06-20,B,a,11,B2,7,2산,2018-06-09,624,311,025-081,1,1,1,1,1,1,B,0,10,3,2018-02-20,2018-06-13,9999-12-31,B,2018-06-13,18,0,2,90,0,0,0,51,5,17,17,10,17,17,15,17,10,0,0,0,0,0,0,13,26,2018-06-20 15:42:44,N,Y
2018-06-20,B,a,12,B1,7,1산,2018-06-09,624,339,038-074,1,1,1,1,1,1,B,0,10,3,2018-02-20,2018-06-13,9999-12-31,B,2018-06-13,18,0,2,300,0,0,0,28,5,11,11,10,10,10,15,11,11,0,0,0,0,0,0,8,16,2018-06-20 16:42:45,N,Y
2018-06-20,B,a,13,B2,5,2산,2018-06-09,624,303,028-035,1,1,1,1,1,1,B,0,10,3,2018-02-20,2018-06-15,9999-12-31,B,2018-06-15,18,0,2,90,0,0,0,30,5,13,13,10,13,13,15,13,13,0,0,0,0,0,0,10,20,2018-06-20 15:42:47,N,Y
